 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 991.0000000000  -1.1275374384e-02  1.7479363628e-19  4.8883715705e-03  4.9080388695e-03  
 991.5000000000  -1.1265900264e-02  -1.9553772058e-20  4.8883715705e-03  4.9080388810e-03  
 992.0000000000  -1.1256170223e-02  -9.8698464839e-20  4.8883715705e-03  4.9080388926e-03  
 992.5000000000  -1.1246184480e-02  1.3891345586e-21  4.8883715705e-03  4.9080389041e-03  
 993.0000000000  -1.1235943262e-02  -6.8038124213e-20  4.8883715705e-03  4.9080389156e-03  
 993.5000000000  -1.1225446800e-02  -1.7432571681e-19  4.8883715705e-03  4.9080389272e-03  
 994.0000000000  -1.1214695332e-02  -1.2173345753e-19  4.8883715705e-03  4.9080389387e-03  
 994.5000000000  -1.1203689100e-02  6.9395308265e-20  4.8883715705e-03  4.9080389502e-03  
 995.0000000000  -1.1192428354e-02  8.4004657982e-21  4.8883715705e-03  4.9080389618e-03  
 995.5000000000  -1.1180913350e-02  -3.2986612870e-19  4.8883715705e-03  4.9080389733e-03  
 996.0000000000  -1.1169144347e-02  5.8790836282e-19  4.8883715705e-03  4.9080389848e-03  
 996.5000000000  -1.1157121613e-02  9.3543940564e-20  4.8883715705e-03  4.9080389964e-03  
 997.0000000000  -1.1144845420e-02  1.7946512275e-19  4.8883715705e-03  4.9080390079e-03  
 997.5000000000  -1.1132316046e-02  -1.7855736351e-20  4.8883715705e-03  4.9080390194e-03  
 998.0000000000  -1.1119533776e-02  1.6426074851e-19  4.8883715705e-03  4.9080390309e-03  
 998.5000000000  -1.1106498899e-02  1.9546767566e-19  4.8883715705e-03  4.9080390425e-03  
 999.0000000000  -1.1093211711e-02  -2.3391662337e-19  4.8883715705e-03  4.9080390540e-03  
 999.5000000000  -1.1079672514e-02  -1.0001554939e-19  4.8883715705e-03  4.9080390655e-03  
 1000.0000000000  -1.1065881614e-02  -4.5153632406e-19  4.8883715705e-03  4.9080390771e-03  
 1000.5000000000  -1.1051839326e-02  -1.1929835832e-19  4.8883715705e-03  4.9080390886e-03  
 1001.0000000000  -1.1037545968e-02  6.7495939828e-20  4.8883715705e-03  4.9080391001e-03  
 1001.5000000000  -1.1023001863e-02  1.1299618452e-19  4.8883715705e-03  4.9080391117e-03  
 1002.0000000000  -1.1008207344e-02  4.2859850588e-20  4.8883715705e-03  4.9080391232e-03  
 1002.5000000000  -1.0993162745e-02  -9.2154538996e-21  4.8883715705e-03  4.9080391347e-03  
 1003.0000000000  -1.0977868410e-02  1.3170303487e-19  4.8883715705e-03  4.9080391463e-03  
 1003.5000000000  -1.0962324684e-02  -2.0328339081e-19  4.8883715705e-03  4.9080391578e-03  
 1004.0000000000  -1.0946531922e-02  -2.0600064926e-19  4.8883715705e-03  4.9080391693e-03  
 1004.5000000000  -1.0930490482e-02  1.3935796278e-19  4.8883715705e-03  4.9080391809e-03  
 1005.0000000000  -1.0914200730e-02  5.0530625679e-19  4.8883715705e-03  4.9080391924e-03  
 1005.5000000000  -1.0897663035e-02  1.7351445044e-19  4.8883715705e-03  4.9080392039e-03  
 1006.0000000000  -1.0880877774e-02  -2.9493461804e-19  4.8883715705e-03  4.9080392155e-03  
 1006.5000000000  -1.0863845329e-02  3.2905561991e-19  4.8883715705e-03  4.9080392270e-03  
 1007.0000000000  -1.0846566086e-02  2.7755547504e-19  4.8883715705e-03  4.9080392385e-03  
 1007.5000000000  -1.0829040440e-02  -5.4447908561e-22  4.8883715705e-03  4.9080392501e-03  
 1008.0000000000  -1.0811268789e-02  -8.7278274901e-20  4.8883715705e-03  4.9080392616e-03  
 1008.5000000000  -1.0793251537e-02  -2.6238076423e-19  4.8883715705e-03  4.9080392731e-03  
 1009.0000000000  -1.0774989094e-02  2.0871143285e-19  4.8883715705e-03  4.9080392847e-03  
 1009.5000000000  -1.0756481876e-02  -1.3130589635e-28  4.8883715705e-03  4.9080392962e-03  
 1010.0000000000  -1.0737730305e-02  -3.7679217158e-19  4.8883715705e-03  4.9080393077e-03  
 1010.5000000000  -1.0718734807e-02  -1.3823576045e-19  4.8883715705e-03  4.9080393193e-03  
 1011.0000000000  -1.0699495814e-02  -5.2035351586e-19  4.8883715705e-03  4.9080393308e-03  
 1011.5000000000  -1.0680013766e-02  2.6454507791e-19  4.8883715705e-03  4.9080393423e-03  
 1012.0000000000  -1.0660289104e-02  -6.7325578307e-19  4.8883715705e-03  4.9080393539e-03  
 1012.5000000000  -1.0640322280e-02  1.0842034960e-19  4.8883715705e-03  4.9080393654e-03  
 1013.0000000000  -1.0620113747e-02  4.3366923697e-21  4.8883715705e-03  4.9080393769e-03  
 1013.5000000000  -1.0599663966e-02  -2.1250364650e-19  4.8883715705e-03  4.9080393885e-03  
 1014.0000000000  -1.0578973403e-02  6.4506074825e-20  4.8883715705e-03  4.9080394000e-03  
 1014.5000000000  -1.0558042528e-02  5.2584086219e-20  4.8883715705e-03  4.9080394115e-03  
 1015.0000000000  -1.0536871820e-02  -4.4289208345e-19  4.8883715705e-03  4.9080394231e-03  
 1015.5000000000  -1.0515461760e-02  2.4773979938e-19  4.8883715705e-03  4.9080394346e-03  
 1016.0000000000  -1.0493812837e-02  -1.2204024700e-19  4.8883715705e-03  4.9080394461e-03  
 1016.5000000000  -1.0471925543e-02  5.5504346803e-19  4.8883715705e-03  4.9080394576e-03  
 1017.0000000000  -1.0449800377e-02  -2.7701378794e-19  4.8883715705e-03  4.9080394692e-03  
 1017.5000000000  -1.0427437845e-02  -5.7300495149e-19  4.8883715705e-03  4.9080394807e-03  
 1018.0000000000  -1.0404838454e-02  -4.1579126431e-19  4.8883715705e-03  4.9080394922e-03  
 1018.5000000000  -1.0382002722e-02  -1.7283690745e-20  4.8883715705e-03  4.9080395038e-03  
 1019.0000000000  -1.0358931168e-02  -1.9515652753e-19  4.8883715705e-03  4.9080395153e-03  
 1019.5000000000  -1.0335624318e-02  4.1633389480e-19  4.8883715705e-03  4.9080395268e-03  
 1020.0000000000  -1.0312082704e-02  -6.0775459759e-19  4.8883715705e-03  4.9080395384e-03  
